STEPS,CC,CD,DC,DD
1051,236,1226,56,103
1052,246,1231,57,100
1053,254,1202,60,101
1054,244,1202,55,105
1055,255,1176,63,103
1056,265,1200,63,106
1057,249,1203,61,112
1058,256,1193,63,106
1059,255,1217,66,98
1060,244,1213,61,100
1061,254,1222,64,106
1062,250,1212,60,104
1063,244,1207,62,99
1064,246,1214,63,106
1065,258,1229,61,107
1066,257,1260,63,114
1067,254,1252,63,112
1068,249,1227,64,111
1069,230,1226,61,113
1070,227,1219,63,116
1071,239,1208,63,119
1072,236,1216,56,123
1073,237,1197,57,119
1074,238,1176,58,115
1075,232,1175,56,116
1076,241,1181,55,119
1077,244,1172,63,119
1078,240,1171,57,112
1079,248,1161,58,111
1080,251,1140,51,115
1081,250,1174,49,112
1082,252,1175,47,108
1083,238,1181,52,118
1084,240,1202,49,117
1085,236,1218,46,123
1086,231,1220,44,125
1087,237,1238,47,131
1088,220,1213,50,131
1089,229,1228,48,133
1090,237,1223,50,136
1091,237,1247,50,147
1092,243,1228,52,144
1093,247,1238,53,145
1094,237,1247,54,141
1095,235,1228,55,143
1096,240,1227,59,138
1097,246,1212,58,136
1098,239,1220,62,126
1099,233,1210,53,128
1100,240,1223,55,129
1101,253,1203,54,127
1102,252,1191,48,124
1103,240,1175,48,120
1104,251,1171,50,127
1105,257,1159,52,127
1106,255,1153,52,120
1107,253,1173,54,121
1108,262,1168,53,113
1109,258,1172,49,115
1110,267,1172,52,117
1111,270,1169,52,114
1112,251,1149,50,113
1113,250,1137,51,115
1114,250,1152,46,118
1115,247,1141,44,119
1116,247,1173,45,119
1117,254,1190,43,112
1118,240,1197,44,118
1119,246,1219,43,118
1120,249,1221,43,118
1121,254,1224,41,126
1122,260,1233,45,123
1123,255,1227,43,120
1124,261,1201,43,116
1125,258,1215,41,115
1126,253,1178,42,112
1127,265,1166,44,114
1128,269,1176,42,106
1129,268,1171,42,98
1130,277,1180,43,99
1131,268,1165,45,94
1132,256,1165,48,95
1133,251,1161,46,95
1134,266,1172,52,91
1135,273,1187,59,91
1136,271,1174,56,97
1137,282,1182,57,98
1138,276,1158,56,95
1139,291,1176,50,90
1140,281,1195,51,87
1141,279,1196,54,82
1142,278,1197,59,84
1143,282,1200,64,85
1144,281,1218,61,87
1145,270,1226,60,85
1146,260,1227,58,84
1147,265,1213,55,85
1148,255,1220,56,79
1149,261,1209,54,77
1150,274,1190,53,71
1151,263,1183,48,75
1152,268,1182,48,83
1153,269,1202,50,86
1154,268,1179,45,84
1155,277,1172,46,86
1156,295,1172,44,87
1157,301,1184,43,93
1158,301,1209,45,88
1159,317,1173,42,99
1160,310,1171,43,101
1161,306,1170,45,106
1162,293,1179,43,102
1163,294,1167,42,98
1164,293,1187,45,103
1165,304,1167,43,107
1166,300,1156,44,101
1167,302,1154,49,101
1168,294,1147,51,108
1169,298,1130,51,109
1170,306,1131,53,105
1171,310,1129,52,103
1172,306,1141,50,100
1173,298,1135,53,104
1174,291,1164,53,108
1175,287,1159,52,105
1176,286,1156,55,102
1177,285,1177,60,100
1178,282,1179,60,103
1179,288,1191,63,104
1180,294,1192,60,98
1181,300,1182,61,101
1182,300,1177,60,111
1183,307,1153,60,106
1184,314,1161,62,102
1185,320,1126,60,105
1186,323,1131,58,103
1187,335,1114,63,107
1188,324,1110,67,110
1189,324,1118,67,117
1190,328,1109,68,112
1191,332,1097,68,119
1192,338,1087,66,124
1193,330,1074,64,122
1194,327,1078,59,118
1195,327,1086,63,126
1196,316,1073,65,119
1197,320,1061,66,114
1198,317,1091,70,115
1199,317,1090,64,115
1200,329,1094,69,113
1201,323,1138,67,112
1202,319,1109,65,117
1203,318,1114,70,115
1204,316,1110,69,121
1205,314,1120,72,125
1206,319,1085,74,133
1207,320,1083,73,140
1208,328,1085,68,144
1209,334,1090,69,136
1210,333,1090,67,132
1211,342,1078,68,129
1212,343,1074,64,123
1213,349,1096,66,123
1214,347,1109,66,128
1215,353,1075,71,136
1216,365,1075,68,139
1217,360,1077,70,140
1218,360,1068,68,127
1219,360,1077,72,130
1220,352,1093,74,131
1221,352,1106,80,133
1222,351,1096,76,135
1223,354,1104,73,128
1224,350,1099,73,127
1225,338,1092,66,131
1226,344,1079,64,126
1227,349,1091,69,122
1228,356,1077,77,123
1229,348,1094,81,123
1230,337,1075,74,121
1231,335,1077,75,121
1232,337,1081,82,119
1233,349,1095,84,122
1234,343,1099,79,118
1235,340,1098,81,129
1236,332,1077,79,123
1237,332,1090,80,128
1238,341,1097,83,128
1239,342,1113,88,124
1240,337,1098,81,122
1241,348,1128,75,122
1242,336,1118,81,123
1243,349,1126,81,121
1244,350,1122,79,127
1245,344,1119,79,122
1246,347,1128,86,118
1247,350,1132,79,125
1248,346,1119,80,125
1249,348,1121,80,125
1250,358,1132,84,123
1251,361,1128,79,131
1252,359,1122,82,131
1253,353,1108,78,130
1254,353,1121,87,132
1255,341,1117,84,135
1256,350,1138,81,136
1257,353,1137,78,140
1258,347,1155,79,135
1259,343,1143,87,136
1260,335,1130,81,145
1261,333,1130,88,141
1262,335,1120,88,133
1263,333,1119,87,135
1264,329,1128,85,135
1265,340,1133,82,134
1266,331,1123,78,128
1267,321,1132,71,122
1268,321,1127,68,120
1269,313,1137,70,125
1270,310,1125,73,125
1271,303,1142,73,119
1272,307,1146,78,111
1273,304,1152,77,109
1274,306,1180,77,106
1275,299,1188,78,100
1276,291,1181,77,105
1277,287,1198,73,105
1278,274,1163,69,106
1279,277,1168,72,99
1280,281,1161,72,110
1281,272,1156,71,111
1282,270,1166,72,112
1283,279,1209,65,112
1284,261,1189,70,114
1285,262,1203,72,112
1286,259,1202,69,111
1287,253,1216,65,115
1288,260,1200,67,113
1289,259,1212,63,116
1290,271,1217,69,115
1291,276,1211,67,114
1292,275,1223,69,112
1293,275,1214,67,115
1294,277,1217,72,113
1295,270,1226,66,118
1296,268,1208,70,111
1297,265,1238,66,111
1298,280,1237,70,112
1299,281,1240,64,109
1300,300,1236,65,116
1301,299,1226,65,115
1302,309,1219,63,113
1303,315,1207,66,110
1304,327,1209,66,106
1305,321,1203,72,110
1306,315,1210,80,106
1307,320,1193,79,99
1308,315,1194,77,93
1309,307,1183,78,93
1310,315,1182,81,94
1311,311,1175,83,94
1312,311,1198,86,90
1313,311,1158,86,94
1314,304,1130,83,102
1315,308,1135,72,105
1316,306,1148,69,112
1317,317,1159,66,106
1318,317,1176,65,108
1319,302,1175,65,107
1320,311,1174,61,112
1321,319,1169,62,103
1322,322,1182,60,100
1323,316,1161,66,110
1324,313,1144,65,108
1325,295,1141,63,113
1326,292,1151,62,107
1327,288,1180,61,109
1328,274,1177,66,106
1329,281,1170,66,98
1330,291,1163,65,101
1331,288,1152,63,109
1332,288,1179,60,106
1333,293,1140,65,109
1334,287,1143,65,114
1335,287,1150,72,112
1336,302,1136,73,110
1337,312,1132,73,113
1338,308,1103,74,109
1339,302,1094,76,111
1340,304,1098,76,120
1341,305,1081,82,117
1342,308,1093,85,115
1343,312,1087,80,119
1344,308,1087,81,106
1345,305,1099,84,100
1346,322,1081,86,103
1347,339,1084,94,101
1348,340,1072,90,103
1349,342,1095,98,104
1350,332,1092,100,106
1351,329,1105,103,109
1352,328,1117,101,108
1353,324,1111,97,103
1354,315,1116,88,102
1355,309,1134,84,104
1356,314,1146,77,111
1357,317,1158,74,107
1358,312,1159,76,105
1359,310,1133,74,112
1360,311,1165,70,118
1361,309,1156,70,124
1362,288,1148,73,122
1363,287,1146,77,125
1364,281,1154,70,111
1365,273,1153,70,113
1366,276,1158,73,110
1367,276,1149,66,113
1368,281,1162,62,121
1369,290,1163,63,118
1370,301,1143,62,117
1371,310,1162,60,120
1372,311,1175,62,113
1373,312,1190,62,114
1374,310,1202,59,113
1375,311,1193,59,116
1376,304,1198,56,112
1377,302,1188,54,106
1378,313,1186,57,108
1379,312,1177,60,109
1380,303,1149,63,107
1381,296,1149,65,111
1382,293,1172,70,117
1383,302,1170,65,122
1384,312,1165,66,124
1385,306,1169,67,119
1386,313,1167,66,119
1387,310,1152,58,113
1388,309,1155,60,116
1389,303,1126,51,113
1390,312,1112,55,121
1391,298,1110,54,123
1392,289,1110,52,128
1393,286,1099,49,130
1394,300,1103,51,130
1395,297,1129,54,133
1396,300,1132,52,122
1397,310,1136,51,120
1398,324,1157,49,125
1399,311,1151,50,125
1400,303,1138,52,130
1401,314,1160,50,129
1402,319,1155,47,141
1403,316,1177,52,136
1404,308,1187,50,138
1405,303,1189,53,130
1406,301,1172,49,129
1407,308,1183,51,130
1408,302,1180,55,126
1409,307,1205,53,130
1410,293,1226,47,139
1411,293,1206,43,144
1412,293,1167,44,151
1413,299,1188,45,154
1414,304,1178,49,141
1415,312,1188,48,143
1416,310,1171,51,134
1417,306,1171,51,136
1418,309,1175,49,134
1419,326,1162,49,137
1420,321,1161,51,133
1421,329,1158,53,128
1422,328,1165,53,133
1423,328,1159,47,138
1424,337,1153,47,145
1425,336,1140,49,141
1426,343,1146,49,140
1427,350,1150,44,137
1428,349,1142,45,136
1429,345,1129,50,140
1430,345,1147,46,132
1431,345,1143,47,127
1432,344,1157,45,125
1433,349,1155,45,130
1434,345,1139,47,126
1435,342,1130,45,130
1436,337,1091,44,126
1437,347,1074,47,119
1438,350,1074,48,113
1439,359,1062,48,124
1440,366,1083,47,125
1441,367,1090,41,134
1442,372,1088,37,124
1443,357,1098,39,116
1444,354,1098,41,119
1445,356,1108,45,117
1446,351,1081,49,122
1447,342,1060,48,110
1448,340,1054,46,106
1449,350,1034,47,109
1450,353,1015,52,104
1451,369,1035,48,108
1452,367,1022,47,114
1453,383,1039,47,116
1454,392,1051,50,113
1455,397,1037,48,106
1456,385,1020,49,107
1457,373,1023,52,110
1458,373,1031,52,114
1459,381,1029,50,109
1460,395,1022,48,105
1461,389,1030,50,112
1462,381,1026,43,113
1463,395,1042,42,112
1464,389,1038,43,112
1465,387,1058,38,110
1466,392,1059,41,110
1467,385,1034,52,109
1468,382,1035,49,112
1469,370,1012,51,114
1470,366,987,51,120
1471,362,962,54,117
1472,346,971,56,124
1473,346,994,53,123
1474,343,1006,50,125
1475,358,1006,53,129
1476,353,990,60,126
1477,361,989,60,130
1478,360,1009,56,127
1479,368,1027,56,124
1480,385,1008,54,121
1481,377,1027,53,123
1482,375,1003,52,121
1483,377,1005,52,135
1484,392,1010,52,130
1485,383,1001,49,129
1486,386,993,48,131
1487,403,1006,51,140
1488,399,1025,48,140
1489,400,1025,44,133
1490,399,1000,43,130
1491,397,987,41,125
1492,399,1011,37,127
1493,403,1035,38,134
1494,408,1035,36,140
1495,405,1068,39,144
1496,412,1091,43,146
1497,412,1089,39,140
1498,417,1094,40,140
1499,400,1095,33,139
1500,406,1077,32,139
1501,406,1084,36,131
1502,399,1066,34,129
1503,400,1052,36,129
1504,388,1028,37,136
1505,392,1046,42,138
1506,386,1036,39,138
1507,390,1035,38,134
1508,389,1054,40,132
1509,373,1042,41,127
1510,387,1040,44,129
1511,377,1033,42,131
1512,387,1023,38,131
1513,396,1034,35,128
1514,400,1027,35,132
1515,392,1037,29,127
1516,386,1035,32,129
1517,387,1018,32,124
1518,390,1011,32,122
1519,383,1009,35,132
1520,382,1031,35,133
1521,380,1038,37,137
1522,384,1038,40,138
1523,389,1042,39,142
1524,381,1041,37,143
1525,367,1046,38,148
1526,354,1068,38,151
1527,365,1060,42,153
1528,364,1062,39,159
1529,365,1076,44,170
1530,350,1073,41,172
1531,351,1070,42,173
1532,353,1063,34,176
1533,355,1041,33,180
1534,354,1045,33,182
1535,358,1049,32,183
1536,363,1053,35,178
1537,363,1072,35,172
1538,368,1065,35,176
1539,352,1066,38,169
1540,348,1070,37,174
1541,337,1063,35,179
1542,343,1043,36,183
1543,332,1052,36,183
1544,333,1061,38,181
1545,330,1057,36,178
1546,325,1062,31,182
1547,324,1073,28,187
1548,326,1049,29,181
1549,328,1054,34,186
1550,324,1032,31,182
1551,328,1020,30,189
1552,338,1030,31,176
1553,337,1021,31,183
1554,345,1024,32,179
1555,350,1042,38,177
1556,350,1045,34,169
1557,349,1041,31,172
1558,351,1036,27,178
1559,356,1031,24,185
1560,354,1038,24,186
1561,349,1035,27,179
1562,344,1030,26,167
1563,339,1050,26,170
1564,329,1063,27,167
1565,327,1047,28,162
1566,326,1069,29,170
1567,332,1049,32,174
1568,330,1058,35,166
1569,335,1071,32,148
1570,336,1077,35,146
1571,351,1063,40,145
1572,349,1054,40,145
1573,345,1058,39,150
1574,359,1057,38,146
1575,356,1051,36,143
1576,359,1053,37,157
1577,356,1039,33,157
1578,357,1052,35,155
1579,351,1042,33,146
1580,353,1052,35,146
1581,351,1028,38,145
1582,352,1014,35,141
1583,342,1011,34,137
1584,336,1018,37,135
1585,340,1044,39,147
1586,345,1027,42,151
1587,343,1023,43,157
1588,367,1034,45,158
1589,368,1043,46,153
1590,370,1060,49,151
1591,365,1060,47,149
1592,368,1055,47,146
1593,383,1042,45,141
1594,381,1031,46,145
1595,384,1023,46,150
1596,375,1020,42,153
1597,371,1012,42,152
1598,377,999,38,148
1599,367,1002,37,144
1600,369,986,38,142
1601,373,975,40,152
1602,376,996,40,158
1603,387,990,36,155
1604,399,978,38,158
1605,399,965,39,160
1606,390,965,35,162
1607,380,976,40,159
1608,376,958,37,164
1609,381,979,40,167
1610,394,971,41,165
1611,401,958,44,179
1612,397,964,45,168
1613,405,952,45,173
1614,405,983,46,181
1615,398,982,49,181
1616,402,977,44,173
1617,406,1004,42,179
1618,392,1000,40,179
1619,401,1009,40,174
1620,399,1008,36,178
1621,390,1001,34,180
1622,388,1016,35,185
1623,395,1012,36,186
1624,389,1005,36,184
1625,394,994,39,183
1626,392,997,38,180
1627,381,970,34,170
1628,384,967,34,159
1629,391,958,34,163
1630,399,959,33,169
1631,406,968,37,166
1632,400,945,33,167
1633,402,968,37,159
1634,409,983,40,161
1635,406,979,44,156
1636,416,983,43,144
1637,424,975,44,149
1638,418,972,43,141
1639,423,980,44,141
1640,418,984,45,138
1641,421,1003,45,141
1642,416,989,43,136
1643,415,981,42,143
1644,408,982,42,144
1645,400,985,40,150
1646,398,973,37,139
1647,400,971,37,141
1648,400,984,37,136
1649,390,984,35,138
1650,385,993,38,138
1651,383,1009,40,133
1652,382,1007,38,130
1653,389,1017,40,131
1654,403,1038,41,124
1655,379,1029,41,123
1656,381,1027,41,129
1657,381,1016,45,137
1658,361,1014,44,140
1659,355,1009,47,129
1660,345,968,45,125
1661,335,989,45,128
1662,337,979,45,128
1663,320,989,48,136
1664,324,981,48,143
1665,326,973,45,152
1666,331,993,50,147
1667,334,973,55,151
1668,336,984,49,151
1669,334,982,51,149
1670,336,1001,54,142
1671,329,999,59,142
1672,333,1005,55,138
1673,336,1002,61,139
1674,319,1006,56,133
1675,320,999,57,131
1676,323,978,63,139
1677,328,962,60,142
1678,324,954,65,141
1679,311,955,67,145
1680,325,949,64,154
1681,326,969,59,163
1682,317,982,66,171
1683,317,983,64,168
1684,305,1010,66,166
1685,315,1007,67,168
1686,324,1020,69,174
1687,323,1016,66,172
1688,326,1023,63,176
1689,313,1010,57,178
1690,314,1036,56,185
1691,312,1030,54,176
1692,306,1033,54,181
1693,296,1043,57,173
1694,299,1047,59,176
1695,299,1041,60,178
1696,289,1032,59,179
1697,288,1028,60,177
1698,300,1024,59,181
1699,297,1014,61,176
1700,283,985,62,187
1701,280,961,59,179
1702,287,964,63,181
1703,294,979,63,171
1704,286,985,57,176
1705,287,976,64,174
1706,284,1004,60,183
1707,282,996,60,179
1708,275,1001,60,177
1709,292,993,52,171
1710,298,991,54,170
1711,300,981,53,164
1712,312,977,50,167
1713,324,991,50,170
1714,329,997,47,181
1715,323,1014,42,174
1716,327,1041,44,173
1717,326,1038,46,173
1718,330,1030,47,168
1719,314,996,44,162
1720,321,1000,47,161
1721,309,986,50,169
1722,305,988,48,174
1723,309,988,49,182
1724,297,1017,50,182
1725,286,1013,49,185
1726,288,1001,47,184
1727,292,991,47,173
1728,293,995,43,166
1729,286,1040,43,170
1730,285,1046,47,167
1731,286,1022,45,170
1732,286,1061,47,165
1733,283,1078,49,169
1734,282,1081,45,172
1735,284,1073,42,168
1736,285,1061,43,157
1737,286,1073,42,152
1738,288,1047,44,160
1739,294,1087,40,160
1740,300,1073,39,157
1741,311,1061,39,169
1742,310,1056,39,176
1743,315,1062,34,163
1744,305,1052,36,152
1745,303,1041,37,141
1746,305,1048,39,142
1747,315,1068,40,142
1748,312,1077,43,140
1749,312,1070,41,139
1750,322,1073,38,139
1751,314,1054,35,145
1752,316,1045,38,141
1753,338,1046,37,133
1754,343,1026,38,137
1755,346,1028,38,142
1756,353,1059,37,149
1757,366,1076,38,157
1758,359,1076,38,156
1759,357,1096,40,162
1760,365,1112,39,161
1761,355,1125,43,163
1762,345,1130,46,167
1763,340,1116,53,183
1764,332,1132,52,175
1765,324,1118,45,174
1766,333,1118,47,175
1767,333,1133,47,178
1768,331,1138,50,178
1769,325,1126,48,170
1770,334,1119,49,171
1771,346,1122,48,170
1772,347,1122,46,169
1773,336,1135,40,167
1774,337,1141,38,151
1775,328,1139,38,160
1776,328,1152,32,167
1777,321,1151,34,175
1778,335,1124,33,173
1779,335,1123,30,174
1780,336,1116,29,171
1781,332,1130,30,174
1782,345,1122,31,174
1783,335,1125,35,176
1784,322,1126,35,173
1785,307,1117,34,169
1786,302,1111,35,164
1787,299,1101,32,169
1788,298,1111,37,166
1789,287,1117,41,168
1790,292,1128,38,170
1791,298,1131,34,165
1792,293,1118,33,158
1793,298,1113,34,162
1794,298,1101,33,167
1795,301,1107,35,164
1796,290,1106,36,162
1797,290,1103,35,149
1798,286,1098,34,149
1799,291,1087,33,144
1800,296,1104,32,147
1801,306,1090,28,152
1802,309,1066,28,166
1803,292,1059,26,167
1804,299,1062,25,163
1805,295,1064,26,164
1806,279,1053,29,162
1807,281,1069,32,161
1808,281,1089,35,149
1809,271,1097,36,155
1810,277,1066,36,158
1811,275,1060,35,152
1812,285,1046,34,150
1813,282,1065,36,150
1814,278,1075,36,155
1815,271,1075,38,152
1816,270,1061,34,158
1817,264,1070,41,154
1818,265,1075,42,152
1819,258,1065,44,154
1820,260,1103,41,152
1821,252,1104,44,150
1822,257,1137,43,149
1823,258,1141,41,156
1824,251,1161,40,150
1825,245,1168,42,155
1826,235,1153,43,168
1827,234,1163,37,179
1828,229,1145,36,177
1829,238,1149,37,171
1830,234,1154,37,170
1831,244,1152,40,165
1832,252,1169,43,163
1833,244,1175,41,156
1834,242,1166,43,169
1835,244,1160,44,165
1836,245,1169,45,169
1837,249,1160,44,169
1838,257,1147,50,165
1839,249,1174,53,164
1840,254,1170,49,169
1841,251,1176,46,175
1842,254,1182,47,186
1843,243,1163,48,187
1844,245,1168,49,188
1845,251,1167,49,193
1846,250,1166,49,185
1847,258,1147,47,181
1848,249,1145,46,184
1849,258,1139,44,180
1850,259,1153,47,185
1851,271,1165,46,182
1852,267,1146,45,183
1853,267,1123,39,175
1854,266,1134,38,177
1855,263,1145,35,201
1856,242,1160,35,204
1857,252,1174,37,196
1858,250,1181,36,192
1859,246,1175,35,188
1860,258,1176,41,185
1861,245,1176,43,186
1862,238,1186,45,179
1863,243,1187,37,176
1864,240,1194,39,175
1865,252,1203,41,168
1866,244,1205,39,171
1867,244,1204,41,173
1868,246,1214,44,173
1869,244,1204,41,168
1870,234,1228,43,174
1871,231,1223,37,172
1872,232,1212,40,171
1873,227,1235,42,169
1874,239,1233,40,174
1875,239,1231,39,173
1876,241,1227,38,177
1877,247,1222,40,187
1878,250,1201,41,183
1879,250,1214,42,185
1880,256,1213,43,184
1881,263,1237,39,175
1882,262,1236,38,179
1883,251,1230,37,170
1884,254,1248,37,172
1885,255,1262,35,172
1886,259,1267,32,166
1887,261,1257,30,169
1888,266,1273,30,167
1889,273,1262,31,162
1890,279,1258,32,165
1891,280,1229,37,160
1892,284,1213,37,157
1893,289,1219,38,159
1894,290,1185,36,156
1895,288,1182,38,155
1896,289,1182,38,149
1897,289,1167,36,146
1898,275,1166,38,158
1899,268,1158,37,156
1900,265,1152,35,158
1901,264,1136,32,162
1902,263,1141,35,164
1903,254,1136,33,166
1904,260,1128,31,156
1905,262,1141,34,156
1906,265,1137,35,158
1907,262,1124,34,158
1908,271,1152,39,159
1909,267,1151,40,166
1910,274,1165,38,163
1911,267,1154,38,167
1912,260,1147,41,161
1913,263,1155,42,169
1914,261,1132,44,169
1915,266,1176,42,157
1916,263,1186,44,155
1917,259,1172,42,161
1918,260,1167,42,164
1919,248,1145,41,166
1920,246,1155,41,160
1921,253,1171,40,167
1922,255,1171,39,162
1923,258,1196,38,162
1924,262,1196,37,164
1925,259,1213,38,162
1926,261,1217,39,160
1927,261,1219,39,158
1928,260,1220,43,153
1929,262,1194,44,159
1930,270,1205,44,150
1931,261,1198,42,148
1932,263,1205,39,145
1933,271,1201,33,145
1934,268,1201,34,142
1935,263,1191,32,138
1936,263,1183,30,138
1937,270,1181,31,132
1938,276,1191,34,132
1939,279,1188,32,130
1940,280,1167,36,128
1941,268,1170,34,124
1942,259,1196,31,126
1943,253,1210,32,122
1944,270,1216,33,117
1945,268,1201,29,115
1946,266,1225,26,120
1947,270,1225,28,128
1948,276,1231,30,134
1949,284,1237,30,135
1950,288,1231,29,136
1951,284,1216,31,130
1952,289,1204,28,132
1953,289,1186,31,126
1954,290,1205,31,138
1955,289,1216,31,134
1956,287,1211,30,132
1957,292,1215,35,130
1958,295,1227,32,129
1959,298,1248,31,134
1960,285,1238,32,134
1961,281,1242,31,137
1962,282,1200,31,139
1963,284,1183,31,146
1964,272,1190,35,141
1965,273,1190,32,137
1966,273,1180,30,134
1967,281,1194,30,130
1968,276,1197,30,129
1969,270,1205,29,131
1970,253,1186,31,128
1971,252,1199,33,131
1972,259,1197,33,128
1973,252,1199,35,134
1974,241,1179,34,132
1975,236,1147,31,131
1976,224,1153,33,131
1977,229,1133,32,136
1978,237,1139,35,134
1979,232,1124,34,137
1980,233,1103,34,139
1981,231,1128,40,129
1982,228,1162,41,131
1983,227,1185,42,137
1984,225,1176,43,136
1985,213,1169,45,142
1986,211,1190,45,136
1987,212,1205,45,132
1988,209,1189,46,130
1989,214,1160,46,133
1990,217,1167,44,138
1991,228,1153,47,142
1992,216,1147,49,142
1993,221,1150,43,137
1994,218,1135,42,138
1995,213,1109,43,147
1996,209,1120,42,143
1997,205,1107,40,145
1998,206,1097,42,149
1999,210,1128,46,148
2000,203,1170,43,146